２　国籍・地域別　港別　入国外国人,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全国,北海道,,,,,,,,,,,,青森県,,,岩手県,宮城県,,秋田県,,山形県,,福島県,,茨城県,,,,埼玉県,千葉県,,,,東京都,,,,,神奈川県,,,,新潟県,,,富山県,,石川県,,,,静岡県,,,,愛知県,,,,,三重県,京都府,大阪府,,,兵庫県,,,,和歌山県,,鳥取県,,鳥取県・島根県,島根県,岡山県,,,広島県,,,,,,山口県,,,,,徳島県,,香川県,,,愛媛県,,,高知県,,福岡県,,,,,佐賀県,,長崎県,,,,,,熊本県,,大分県,,,宮崎県,,,鹿児島県,,,,,沖縄県,,,,,,,,,,
バルバドス,187 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55 ,0 ,0 ,102 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
米国,"2,082,697 ",40 ,"3,585 ","1,695 ",4 ,0 ,0 ,"14,020 ",0 ,"1,442 ",65 ,728 ,0 ,820 ,25 ,258 ,16 ,595 ,3 ,4 ,417 ,0 ,3 ,0 ,75 ,42 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,"756,089 ",380 ,"1,762 ","1,010,495 ",0 ,"2,032 ",16 ,0 ,12 ,"1,336 ",0 ,0 ,60 ,64 ,0 ,"1,033 ",300 ,1 ,0 ,156 ,7 ,4 ,0 ,0 ,"11,255 ",1 ,58 ,0 ,0 ,0 ,"1,464 ","193,296",   0 ,   1 ,"3,256",0,0,0,0,1,47,"1,320",0,157,0,0,0,0,0,281,519,0,381,1,609,0,0,0,0,0,526,0,72,158,0,427,8,708,0,142,"2,419","30,188",361,98,1,245,"13,479",7,436,0,378,102,0,95,0,2,0,52,"5,196",173,0,0,0,"1,635",0,"2,120",13,0,1,489,"12,866",65,1,0
ベリーズ,117 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54 ,0 ,0 ,45 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ホンジュラス,"1,273 ",0 ,8 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,636 ,0 ,0 ,481 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,73,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
メキシコ,"95,792 ",0 ,17 ,20 ,0 ,0 ,0 ,73 ,0 ,86 ,0 ,2 ,0 ,16 ,0 ,0 ,0 ,10 ,0 ,0 ,34 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,156 ",0 ,20 ,"17,129 ",0 ,1 ,0 ,0 ,0 ,76 ,0 ,0 ,0 ,0 ,0 ,63 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,178 ,0 ,0 ,0 ,0 ,0 ,126 ,"4,200",   0 ,   0 ,205,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,28,0,0,0,134,0,0,0,0,0,4,0,0,2,0,3,0,14,0,7,146,385,9,0,0,12,387,0,2,0,1,5,0,0,0,0,0,0,84,0,0,0,0,20,0,0,0,0,0,5,109,5,0,0
南アメリカ,"138,427 ",0 ,8 ,8 ,0 ,0 ,0 ,182 ,0 ,19 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,7 ,0 ,0 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"67,419 ",0 ,35 ,"48,218 ",0 ,0 ,0 ,0 ,0 ,34 ,0 ,0 ,3 ,0 ,0 ,30 ,6 ,0 ,0 ,39 ,0 ,0 ,0 ,0 ,"2,649 ",0 ,0 ,0 ,0 ,0 ,42 ,"17,174",   0 ,   0 ,125,0,0,0,0,0,5,19,0,3,0,0,0,0,0,3,92,0,0,0,174,0,0,0,0,0,11,0,0,6,0,15,0,3,0,14,297,"1,028",0,2,0,5,241,0,7,0,2,18,0,0,0,0,0,0,83,2,0,0,0,12,0,1,0,0,0,20,321,6,0,0
アルゼンチン,"13,795 ",0 ,3 ,2 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,074 ",0 ,3 ,"5,098 ",0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,168",   0 ,   0 ,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,2,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,76,148,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,4,34,1,0,0
ウルグアイ,"1,707 ",0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,850 ,0 ,0 ,625 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,178,   0 ,   0 ,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
エクアドル,"2,155 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,211 ",0 ,0 ,707 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,174,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0
ガイアナ,64 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,0 ,34 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コロンビア,"10,348 ",0 ,0 ,2 ,0 ,0 ,0 ,9 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,738 ",0 ,3 ,"3,401 ",0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,49 ,0 ,0 ,0 ,0 ,0 ,2 ,907,   0 ,   0 ,10,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,83,0,0,0,0,23,0,1,0,0,3,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,3,21,0,0,0
スリナム,112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,34,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
チリ,"14,070 ",0 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,038 ",0 ,2 ,"6,720 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,0 ,0 ,0 ,20 ,901,   0 ,   0 ,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,27,0,0,0,0,0,2,0,0,0,0,10,0,0,0,2,57,93,0,0,0,0,29,0,1,0,2,2,0,0,0,0,0,0,4,0,0,0,0,6,0,1,0,0,0,0,32,1,0,0
パラグアイ,909 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,516 ,0 ,0 ,302 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,67,   0 ,   0 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ブラジル,"79,050 ",0 ,4 ,3 ,0 ,0 ,0 ,124 ,0 ,4 ,0 ,6 ,0 ,3 ,0 ,0 ,0 ,1 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"37,825 ",0 ,26 ,"25,800 ",0 ,0 ,0 ,0 ,0 ,21 ,0 ,0 ,3 ,0 ,0 ,13 ,6 ,0 ,0 ,31 ,0 ,0 ,0 ,0 ,"2,032 ",0 ,0 ,0 ,0 ,0 ,20 ,"11,950",   0 ,   0 ,48,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,80,0,0,0,32,0,0,0,0,0,6,0,0,5,0,3,0,3,0,4,89,510,0,2,0,4,123,0,4,0,0,9,0,0,0,0,0,0,47,0,0,0,0,4,0,0,0,0,0,3,177,0,0,0
ベネズエラ,"1,656 ",0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,795 ,0 ,1 ,639 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,161,   0 ,   0 ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0
ペルー,"12,812 ",0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,6 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,463 ",0 ,0 ,"4,315 ",0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,417 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,341",   0 ,   0 ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,26,119,0,0,0,1,32,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,4,22,0,0,0
ボリビア,"1,749 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,845 ,0 ,0 ,552 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,0 ,0 ,0 ,0 ,0 ,0 ,285,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
オセアニア,"705,822 ",0 ,647 ,186 ,0 ,0 ,0 ,"13,251 ",0 ,262 ,24 ,41 ,0 ,252 ,3 ,3 ,4 ,73 ,1 ,0 ,209 ,0 ,0 ,0 ,34 ,4 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,"267,413 ",0 ,239 ,"292,333 ",2 ,19 ,0 ,0 ,0 ,554 ,0 ,2 ,22 ,17 ,0 ,633 ,68 ,1 ,0 ,28 ,33 ,0 ,73 ,0 ,"5,066 ",0 ,2 ,0 ,0 ,0 ,401 ,"96,090",   0 ,   0 ,730,0,0,0,7,0,22,360,0,37,0,0,0,8,0,33,146,0,0,8,48,0,0,1,0,0,284,0,132,34,0,189,3,219,0,29,"1,049","12,558",46,13,0,202,"4,655",2,58,0,108,144,0,15,0,0,0,13,"2,334",133,0,18,27,536,0,24,1,0,0,93,"3,447",64,0,0
オーストラリア,"620,480 ",0 ,578 ,168 ,0 ,0 ,0 ,"12,189 ",0 ,242 ,17 ,32 ,0 ,226 ,1 ,3 ,3 ,58 ,1 ,0 ,190 ,0 ,0 ,0 ,34 ,4 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,"211,876 ",0 ,205 ,"276,855 ",2 ,16 ,0 ,0 ,0 ,494 ,0 ,0 ,22 ,14 ,0 ,572 ,60 ,1 ,0 ,23 ,32 ,0 ,0 ,0 ,"4,365 ",0 ,2 ,0 ,0 ,0 ,347 ,"87,772",   0 ,   0 ,632,0,0,0,3,0,21,318,0,31,0,0,0,8,0,30,122,0,0,2,37,0,0,1,0,0,240,0,127,26,0,170,0,201,0,17,881,"10,871",30,10,0,190,"4,129",1,37,0,88,143,0,5,0,0,0,11,"2,090",120,0,0,0,489,0,22,0,0,0,37,"2,876",58,0,0
キリバス,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,49 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サモア,179 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,126 ,0 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ソロモン,136 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74 ,0 ,0 ,31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,23,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ツバル,49 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,   0 ,   0 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
トンガ,355 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,263 ,0 ,0 ,50 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ナウル,31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,6,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニュージーランド,"81,099 ",0 ,69 ,18 ,0 ,0 ,0 ,"1,051 ",0 ,20 ,7 ,8 ,0 ,26 ,2 ,0 ,1 ,15 ,0 ,0 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"52,671 ",0 ,34 ,"14,766 ",0 ,3 ,0 ,0 ,0 ,60 ,0 ,2 ,0 ,3 ,0 ,61 ,8 ,0 ,0 ,5 ,1 ,0 ,0 ,0 ,643 ,0 ,0 ,0 ,0 ,0 ,54 ,"7,981",   0 ,   0 ,96,0,0,0,4,0,1,42,0,5,0,0,0,0,0,3,24,0,0,6,11,0,0,0,0,0,44,0,5,8,0,19,1,18,0,12,168,"1,596",16,3,0,12,526,1,21,0,20,1,0,10,0,0,0,2,243,13,0,0,0,47,0,1,1,0,0,42,545,4,0,0
バヌアツ,338 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,181 ,0 ,0 ,97 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,38,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
パプアニューギニア,705 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,385 ,0 ,0 ,149 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,67 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,54,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,27,0,0,0,0,0,0,0,0,0,0,0
パラオ,419 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,272 ,0 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,45,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,0,0
フィジー,"1,418 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,102 ",0 ,0 ,241 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,51,   0 ,   0 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
